time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,position
35.559345722198486,0,-1,0,1,3,3,0,-6,1
35.55935096740723,0,-2,1,1,-1,1,-2,0,1
35.57443046569824,2,3,3,1,1,0,7,7,1
35.57443594932556,3,-1,3,1,1,-1,0,1,1
35.58172941207886,-3,-3,-7,-9,-8,-6,-9,-1,1
35.58173489570618,0,1,5,7,7,3,4,0,1
35.59732723236084,-5,-4,-5,-8,-10,-3,-5,-7,1
35.59733200073242,2,2,-1,-1,1,0,3,1,1
35.59941864013672,-1,-4,-1,3,5,3,3,0,1
35.59942579269409,3,3,0,-1,-1,-1,0,9,1
35.6133234500885,0,-1,1,3,6,2,2,-2,1
35.613327980041504,-2,-2,-2,-3,-6,-4,-5,-4,1
35.61892008781433,-2,-5,-5,-5,0,7,5,-2,1
35.618924617767334,-3,-1,-4,-5,-4,-5,-4,-6,1
35.63408708572388,1,0,0,2,0,-2,-5,-3,1
35.634092807769775,-4,-2,-3,-2,-1,-2,-1,-2,1
35.64206528663635,0,-1,4,5,2,1,1,1,1
35.64207196235657,1,-1,-5,-10,-6,-4,-7,-1,1
35.65746188163757,-1,-2,-1,1,0,2,4,6,1
35.65747046470642,-2,1,0,2,1,-2,-5,-10,1
35.65894556045532,1,1,-1,1,-2,-2,3,3,1
35.65895318984985,-4,-1,-3,-6,-4,-3,2,-3,1
35.67498016357422,0,1,2,5,3,0,-1,-1,1
35.67498540878296,0,-3,-6,-5,-4,0,0,0,1
35.679938077926636,-4,-2,-1,2,3,2,3,-4,1
35.679945945739746,2,0,0,-1,-4,-1,-5,2,1
35.69416904449463,-1,0,-2,3,1,-1,-1,-2,1
35.694175004959106,0,-1,-2,-2,-2,-2,1,1,1
35.701921463012695,-1,0,2,4,2,-1,0,-2,1
35.701926946640015,-2,-4,-4,-10,-6,-3,-3,-1,1
35.71751832962036,1,-1,1,3,2,1,-1,0,1
35.71752429008484,0,-1,-1,-4,-2,-1,-6,0,1
35.71897625923157,-1,1,5,8,7,2,6,1,1
35.71898031234741,-3,-1,-3,-8,-7,-5,-3,-7,1
35.732545137405396,-2,-2,-1,-2,-3,-4,-3,-1,1
35.732547760009766,2,2,1,2,1,-1,-1,3,1
35.73867607116699,-1,1,-4,-11,-8,-3,-3,-2,1
35.73867917060852,2,-1,3,8,2,3,5,2,1
35.753450870513916,2,-1,-1,1,1,2,0,-1,1
35.75345325469971,2,-1,-4,-2,-2,1,1,1,1
35.761117935180664,3,3,1,5,0,-1,-3,-1,1
35.761120319366455,2,0,-1,-1,2,-1,2,-1,1
35.77735161781311,-4,-3,-4,-7,-5,-2,-4,-3,1
35.77735686302185,-4,-3,2,1,0,-3,-6,-3,1
35.77844595909119,4,4,2,3,4,3,4,6,1
35.778449296951294,-2,0,0,6,2,4,3,-2,1
35.7937114238739,-1,2,0,-5,-5,-5,-3,0,1
35.79371643066406,-2,-2,-2,-1,-1,1,1,-1,1
35.79903864860535,-2,-4,-3,-3,-4,-3,-6,-2,1
35.799044132232666,1,2,5,7,7,3,4,2,1
35.8148307800293,0,1,0,2,-1,0,-1,-2,1
